Name,POS,Age,OVR,POT,Con,Pow,Eye,Ks,DF,Stu,Mov,Ctl,Sta,SctAcc
Hitter 067,C,18,51,64,42,57,66,37,40,,,,,Very High
Hitter 068,C,20,47,61,34,50,62,27,50,,,,,High
Pitcher 069,SP,23,51,75,,,,,,62,58,34,67,Low
Hitter 070,2B,18,49,70,45,56,34,43,64,,,,,Low
Hitter 071,C,24,56,79,69,57,33,58,57,,,,,High
Pitcher 072,SP,20,29,37,,,,,,26,27,33,65,Low
Hitter 073,3B,21,46,59,53,60,28,65,26,,,,,Very High
Hitter 074,1B,23,44,64,54,29,57,59,30,,,,,Normal
Pitcher 075,SP,23,40,65,,,,,,41,40,38,39,Low
Hitter 076,SS,24,50,56,56,49,29,55,68,,,,,High
Hitter 077,SS,22,42,65,29,63,34,46,41,,,,,High
Pitcher 078,SP,23,49,57,,,,,,55,28,56,42,High
Hitter 079,SS,21,58,77,68,56,43,70,58,,,,,Low
Hitter 080,RF,18,41,55,32,60,37,44,30,,,,,Low
Pitcher 081,SP,19,51,62,,,,,,57,53,42,49,Very High
Hitter 082,LF,19,44,68,62,30,34,58,41,,,,,Normal
Hitter 083,RF,21,50,55,32,70,48,39,56,,,,,High
Pitcher 084,SP,20,58,67,,,,,,56,68,53,50,Low
Hitter 085,C,20,47,62,47,49,45,32,46,,,,,Low
Hitter 086,SS,20,43,50,32,37,70,25,43,,,,,Low
Pitcher 087,RP,24,49,62,,,,,,62,29,48,52,Very High
Hitter 088,2B,19,36,49,42,31,28,67,43,,,,,Low
Hitter 089,C,24,49,74,57,45,37,48,52,,,,,Low
Pitcher 090,SP,22,37,46,,,,,,30,28,51,53,Normal
Hitter 091,RF,21,45,60,56,28,60,33,35,,,,,Normal
Hitter 092,3B,20,48,68,44,41,66,41,50,,,,,Low
Pitcher 093,SP,19,43,64,,,,,,35,66,35,29,Low
Hitter 094,CF,19,51,73,60,39,53,46,53,,,,,High
Hitter 095,1B,20,39,51,40,30,36,46,60,,,,,Normal
Pitcher 096,RP,21,43,61,,,,,,61,37,26,51,High
Hitter 097,SS,22,47,63,49,42,46,28,56,,,,,High
Hitter 098,1B,20,58,70,68,57,58,65,38,,,,,Low
Pitcher 099,RP,24,58,63,,,,,,66,53,52,44,High
Hitter 100,RF,18,48,55,27,52,70,55,62,,,,,Low
Hitter 101,3B,19,52,61,58,54,53,40,31,,,,,Very High
Pitcher 102,RP,24,36,45,,,,,,30,60,27,25,High
Hitter 103,2B,23,49,62,61,27,66,70,44,,,,,Low
Hitter 104,3B,21,47,60,69,32,31,29,44,,,,,High
Pitcher 105,SP,20,40,55,,,,,,25,59,44,54,High
Hitter 106,C,21,51,76,55,58,40,60,40,,,,,Normal
Hitter 107,CF,18,35,48,28,26,37,56,68,,,,,High
Pitcher 108,RP,23,49,64,,,,,,48,39,56,27,Low
Hitter 109,SS,23,51,72,48,68,50,37,25,,,,,Very High
Hitter 110,3B,21,43,55,38,56,37,44,37,,,,,Normal
Pitcher 111,RP,19,48,60,,,,,,31,64,56,64,Low
Hitter 112,CF,18,49,60,51,67,28,63,34,,,,,Very High
Hitter 113,C,19,53,70,63,34,51,28,70,,,,,Low
Pitcher 114,RP,19,33,43,,,,,,32,30,35,46,Low
Hitter 115,LF,21,43,53,27,44,67,49,48,,,,,Very High
Hitter 116,CF,18,33,55,25,30,42,30,47,,,,,High
Pitcher 117,RP,18,48,68,,,,,,47,44,52,30,High
Hitter 118,LF,23,52,72,48,59,53,37,45,,,,,Very High
Hitter 119,C,21,54,60,65,51,40,65,50,,,,,Low
SLEEPER Guy,CF,19,35,45,72,70,68,65,66,,,,,Low
